Image 0| Score: -1.8844 | Improved by Teacher| Green commercial building with refrigerator and refrigeration units outside.
Image 327| Score: -2.1285 | Improved by Teacher| That clock seems to be mounted on a building.
Image 328| Score: -0.8831 | Improved by Teacher| A person walking while using a cellular phone.
Image 329| Score: -1.6496 | Improved by Teacher| A girl sits at an outdoor table, there are lobsters in a bowl on the table, and trees and water in the background. 
Image 330| Score: -1.8693 | Improved by Teacher| there are two giraffes standing very close to each other
Image 331| Score: -1.9536 | Improved by Teacher| A young man wearing a ring adjusting his tie
Image 332| Score: -1.6107 | Improved by Teacher| this is a table in the middle of a room
Image 333| Score: -1.7605 | Improved by Teacher| a kid in jeans doing a skatboard trick down steps
Image 334| Score: -1.7394 | Improved by Teacher| Two zebra stand next to a herd of antelope.
Image 335| Score: -1.8504 | Improved by Teacher| Scantily clad couple in kitchen with pan of cookies.
Image 336| Score: -1.9048 | Improved by Teacher| Two cows sitting in the grass under a tree.
Image 337| Score: -1.3292 | Improved by Teacher| A close-up of headphones next to a keyboard on a desk.
Image 338| Score: -1.3841 | Improved by Teacher| A motorcycle is parked in a parking garage. 
Image 339| Score: -0.5155 | Improved by Teacher| A red-crested wood-pecker on a lichen covered tree.
Image 340| Score: -0.8587 | Improved by Teacher| A surfboard rider rides a small sized wave.
Image 341| Score: -2.0044 | Improved by Teacher| A white paper scibbled with blue ink near a computer keyboard.
Image 342| Score: -2.0232 | Improved by Teacher| Couple walking past outdoor display racks of assorted clothing.
Image 343| Score: -1.8715 | Improved by Teacher| A play of food next to a bowl of rice and chopsticks. 
Image 344| Score: -1.0213 | Improved by Teacher| a plate of vegetables sits next to a trey of pizza 
Image 345| Score: -1.2609 | Improved by Teacher| A table with a lamp next to apples sitting on top of each other.
Image 346| Score: -0.9921 | Improved by Teacher| A few cows grazing in an open field.
Image 347| Score: -0.8860 | Improved by Teacher| A photo of fruit is partially in color and partially in black and white.
Image 348| Score: -1.2279 | Improved by Teacher| A woman exercising a brown horse in a riding ring.
Image 349| Score: -0.9416 | Improved by Teacher| A cat sticking it's head out of a window behind flowers in a planter.
Image 350| Score: -0.5933 | Improved by Teacher| A living room decorated for Halloween with a large window with closed blinds.
Image 351| Score: -2.1445 | Improved by Teacher| Professional motorcycle racer in extreme lean on a race course.
Image 352| Score: -0.9603 | Improved by Teacher| A surf board rider being pushes by ocean waves.
Image 353| Score: -0.7677 | Improved by Teacher| A person riding a large wave in the ocean on a surfboard.
Image 354| Score: -0.6356 | Improved by Teacher| A grey bird in the middle of a snow-covered ground
Image 355| Score: -0.8538 | Improved by Teacher| A cat that is by a bicycle wheel.
Image 356| Score: -0.5472 | Improved by Teacher| a brown and white dog a fence and a tree
Image 357| Score: -0.6485 | Improved by Teacher| A group of people in ties are posing for a picture.
Image 358| Score: -0.9982 | Improved by Teacher| a tall red bus is coming down some tracks
Image 359| Score: -1.7150 | Improved by Teacher| two men standing in some sand walking up a hill
Image 360| Score: -0.3673 | Improved by Teacher| A calf laying in an open field licking its nose.
Image 361| Score: -0.9896 | Improved by Teacher| A woman holds a dog on her lap. 
Image 362| Score: -0.0635 | Improved by Teacher| a black and white dog sitting on a red couch with pillows
Image 363| Score: -0.5294 | Improved by Teacher| A car modified to be a boat on the water.
Image 364| Score: -0.1678 | Improved by Teacher| A ten filled with a creepy punk rocker snowman smothered in purple lights.
Image 365| Score: -2.0254 | Improved by Teacher| Various street signs in French outside of a building.
Image 366| Score: -1.0732 | Improved by Teacher| A group of hikers watching a plane over a body of water.
Image 367| Score: -0.9276 | Improved by Teacher| a small child watching an elephant behind a fence
Image 368| Score: -2.1041 | Improved by Teacher| This is a painting of a cross country skier traveling up a slope at sunrise.
Image 369| Score: -1.7471 | Improved by Teacher| The man is in his refrigerator looking for something to eat or drink
Image 370| Score: -1.1896 | Improved by Teacher| A stoplight showing a green light in a city.
Image 371| Score: -0.4182 | Improved by Teacher| A white plate topped with a pizza covered in toppings.
Image 372| Score: -1.1558 | Improved by Teacher| a kid holding a cell phone on her ears
Image 373| Score: -2.0033 | Improved by Teacher| Three cats that are sleeping on a bed.
Image 374| Score: -1.7157 | Improved by Teacher| People sitting on small boats in the creek. 
Image 375| Score: -1.3972 | Improved by Teacher| There s a van with grafting on thevoutsidevif the van
Image 376| Score: -1.0993 | Improved by Teacher| A small vase with a few flowers is in the snow.
Image 377| Score: -0.7163 | Improved by Teacher| A lovely appointed kitchen area with oval shaped island
Image 378| Score: -2.2146 | Improved by Teacher| Black box or case on a bench in a public area.
Image 379| Score: -0.1607 | Improved by Teacher| A polar bear is under water next to a rock wall.
Image 380| Score: -0.7551 | Improved by Teacher| A bus is parked on a wet street
Image 381| Score: -0.3901 | Improved by Teacher| A giraffe is standing next to a chain link fence.
Image 382| Score: -1.6911 | Improved by Teacher| A corner of a rest room with a cookie and coffee.
Image 383| Score: -0.5775 | Improved by Teacher| A sandwich that is sitting on a plate on a table.
Image 384| Score: -0.9226 | Improved by Teacher| A red rose sitting on a vase filled with water.
Image 385| Score: -1.2579 | Improved by Teacher| A plate with two slices of pizza on a table with another plate and glass.
Image 386| Score: -1.7127 | Improved by Teacher| This is a baseball player trying to hit a ball
Image 387| Score: -0.6390 | Improved by Teacher| a train traveling on an elevated train track.
Image 388| Score: -1.2733 | Improved by Teacher| A woman wearing a seat belt with her hair up in the air.
Image 389| Score: -2.0839 | Improved by Teacher| some bananas that are growing but still too ripe to harvest
Image 390| Score: -0.6484 | Improved by Teacher| A person and a elephant by some trees.
Image 391| Score: -1.9127 | Improved by Teacher| People all riding there bikes at night time .
Image 392| Score: -1.1663 | Improved by Teacher| a man catching a frisbee in a field.
Image 393| Score: -0.9827 | Improved by Teacher| A man skiing in the snow with large pine trees.
Image 394| Score: -1.2973 | Improved by Teacher| A picture of something and it appears like food.
Image 395| Score: -0.8646 | Improved by Teacher| A man in white shirt doing a trick on a skateboard.
Image 396| Score: -1.0627 | Improved by Teacher| a man on skies is coming down a snowy slope
Image 397| Score: -1.5636 | Improved by Teacher| a cup containing scissors, a pen, and a few eyeliner pencils
Image 398| Score: -1.7887 | Improved by Teacher| Several young children flying a kite in a field.
Image 399| Score: -0.4147 | Improved by Teacher| An oriental style room with tatami floor coverings.
Image 400| Score: -1.8976 | Improved by Teacher| The driver holds the small dog out the car window while taking a reflective photo in the side mirror.
Image 401| Score: -0.7575 | Improved by Teacher| A group of people sitting by blue building eating food.
Image 402| Score: -0.9595 | Improved by Teacher| A clean, white bathroom with a walk-in shower.
Image 403| Score: -1.9019 | Improved by Teacher| There are two fire trucks outside of a market
Image 404| Score: 0.4851 | Improved by Teacher| A young man, who is dressed formally, is posing for the camera. 
Image 405| Score: -0.6622 | Improved by Teacher| A bathroom is shown with a toilet, sink and bathtub.
Image 406| Score: -1.6390 | Improved by Teacher| Three horse running in the grass in a open area.
Image 407| Score: -1.9963 | Improved by Teacher| there is a sandwich that is cut in half in a bowl
Image 408| Score: -0.6074 | Improved by Teacher| A frontal image of a jet airplane on a runway.
Image 409| Score: -1.1485 | Improved by Teacher| A man and woman exchanging wedding vows outside.
Image 410| Score: -1.1950 | Improved by Teacher| A yellow fire hydrant sitting in the middle of a bed of rocks.
Image 411| Score: -0.8133 | Improved by Teacher| A young man surfs in a small blue wave.
Image 412| Score: -0.7114 | Improved by Teacher| A man is on the court holding his racket. 
Image 413| Score: -1.2367 | Improved by Teacher| A man stands next to a concrete wall.
Image 414| Score: -0.7401 | Improved by Teacher| A rusted up park bench sitting in the middle of a park.
Image 415| Score: -0.7947 | Improved by Teacher| A CAT SITTING ON A BOARD GAME THAT IS ON TOP OF A COFFEE TABLE
Image 416| Score: -1.5946 | Improved by Teacher| Broccoli is in a bowl with a fork. 
Image 417| Score: -1.0834 | Improved by Teacher| a big metal colander filled with navel oranges
Image 418| Score: 0.0036 | Improved by Teacher| A giraffe standing next to a lush green forest.
Image 419| Score: -0.4171 | Improved by Teacher| A bus with no roof has lots of seats in back.
Image 420| Score: -1.1673 | Improved by Teacher| A woman sits on the edge of a purple bed that has a black canopy.
Image 421| Score: 0.0892 | Improved by Teacher| A man has a dazed look while sitting on a toilet.
Image 422| Score: -1.9710 | Improved by Teacher| Someone jumping in the air on their snowboard.
Image 423| Score: -1.4902 | Improved by Teacher| Two giraffes standing in front of trees facing to the right.
Image 424| Score: -0.9265 | Improved by Teacher| a tennis court that has a man with a racket
Image 425| Score: -0.8103 | Improved by Teacher| A sea gull flying high in the sky on a clear day
Image 426| Score: -1.9886 | Improved by Teacher| Two bunches of green bananas on banana trees.
Image 427| Score: -2.2157 | Improved by Teacher| Table of food including carrots, peas, salad, corn, gravy, pies, bread
Image 428| Score: -0.5730 | Improved by Teacher| A very tasty looking pizza with some toppings.
Image 429| Score: -2.1594 | Improved by Teacher| a close up of a person operating a cell phone
Image 430| Score: -0.6222 | Improved by Teacher| A malnourished horse is fitted with a sack over its mouth seemingly depicting animal abuse.
Image 431| Score: -1.6127 | Improved by Teacher| a bunch of people at a table with food
Image 432| Score: -1.8240 | Improved by Teacher| this is a group of people standing near a river
Image 433| Score: -0.3922 | Improved by Teacher| A small box truck parked on a city street.
Image 434| Score: -1.4644 | Improved by Teacher| A open stove with some food on the inside.
Image 435| Score: -1.9090 | Improved by Teacher| A pair of scissors on top of a piece of paper on top of a rock.
Image 436| Score: -0.5892 | Improved by Teacher| A train moving along some train tracks next to a tree.
Image 437| Score: -0.3201 | Improved by Teacher| A dog, leaning against a laptop, looks gloomy. 
Image 438| Score: -0.5174 | Improved by Teacher| A thin crust pizza served on a plate.
Image 439| Score: -0.3849 | Improved by Teacher| A train traveling through a forest with tall trees.
Image 440| Score: -0.6279 | Improved by Teacher| a tennis player hitting a tennis ball on a court
Image 441| Score: -1.4839 | Improved by Teacher| a bunch of women serving hot dogs 
Image 442| Score: -1.0176 | Improved by Teacher| A woman with dark makeup on holding a sandwich.
Image 443| Score: -2.1480 | Improved by Teacher| People are standing on the baseball diamond in the grass and dirt.
Image 444| Score: -0.4491 | Improved by Teacher| A girl in bikini standing with surfboard on the beach.
Image 445| Score: -0.8332 | Improved by Teacher| A chair by a window in a living room
Image 446| Score: -0.5013 | Improved by Teacher| A city bus on the street in front of buildings.
Image 447| Score: -0.9318 | Improved by Teacher| A group of Navy men cutting a large sheet cake.
Image 448| Score: -2.0581 | Improved by Teacher| this tabby cat is loving the attention she is getting from this man
Image 449| Score: -0.1992 | Improved by Teacher| A brown stuffed teddy bear sitting on top of a couch.
Image 450| Score: -0.7800 | Improved by Teacher| A baggage claim area with black suitcases on a baggage carousel.
Image 451| Score: -1.9002 | Improved by Teacher| Floral vases on display some with oranges in a glass vase and a on a platter.
Image 452| Score: -0.4802 | Improved by Teacher| A large bus driving down a city street.
Image 453| Score: -0.8163 | Improved by Teacher| An abandoned toilet sits on the sidewalk next to a parking pay kiosk.
Image 454| Score: -1.8183 | Improved by Teacher| Three people on an open field with a banner 
Image 455| Score: -2.1851 | Improved by Teacher| Signs warn that parking is for residents only at certain times.
Image 456| Score: -0.6385 | Improved by Teacher| A woman with blue hair posing in the mirror.
Image 457| Score: -1.3933 | Improved by Teacher| Several young girls holding tennis racquets next to a man.
Image 458| Score: -1.6931 | Improved by Teacher| A person with knee pads on standing on a skateboard.
Image 459| Score: -0.7918 | Improved by Teacher| a cat laying in an open bag of luggage 
Image 460| Score: -2.0867 | Improved by Teacher| THERE IS A BUNCH OF KIDS THAT ARE AT THE TABLE 
Image 461| Score: -1.1405 | Improved by Teacher| a pole with street signs and a green light 
Image 462| Score: -1.9083 | Improved by Teacher| Fruit market display of oranges with one cut open.
Image 463| Score: -1.0325 | Improved by Teacher| A graffiti-ridden building in an urban setting, a fire hydrant at curbside.
Image 464| Score: -1.0943 | Improved by Teacher| a toilet and some brown tiles on the floor and wall
Image 465| Score: -2.0958 | Improved by Teacher| Two bear cubs wrestling in the grass by rocks
Image 466| Score: -0.9666 | Improved by Teacher| A city street on a rainy day with people taking cover using umbrellas
Image 467| Score: -1.3723 | Improved by Teacher| A cutting board with slices of peeled apple and a knife next to an apple and apple peels.
Image 468| Score: -1.1684 | Improved by Teacher| a green phone booth and yellow fire hydrant on city street
Image 469| Score: -2.1273 | Improved by Teacher| Three lit candles on a chocolate birthday cake. 
Image 470| Score: -1.6105 | Improved by Teacher| This is a photo of traffic on a busy city highway. 
Image 471| Score: -0.8208 | Improved by Teacher| A woman walking across a tennis court, swinging a tennis racket.
Image 472| Score: -0.6325 | Improved by Teacher| A horse standing in a field of tall brush.
Image 473| Score: -1.4401 | Improved by Teacher| A group of teenagers standing by a graffiti'd wall.
Image 474| Score: -0.9996 | Improved by Teacher| A double sized transit bus followed by a double deck bus.
Image 475| Score: -0.7265 | Improved by Teacher| a woman and two children are feeding some elephants
Image 476| Score: -0.6965 | Improved by Teacher| A group of motorcycles, half with male riders in the street at a city intersection.
Image 477| Score: -0.4950 | Improved by Teacher| A clock tower in the middle of a road. 
Image 478| Score: -2.2107 | Improved by Teacher| Two people sitting on a motorcycle in the street next to a beach.
Image 479| Score: -1.6724 | Improved by Teacher| People going about their day on a street in the Chinese district.
Image 480| Score: -1.1472 | Improved by Teacher| A red stop/arret sign at a toll booth.
Image 481| Score: -1.5814 | Improved by Teacher| A woman and her father hold hands in a park
Image 482| Score: -0.6495 | Improved by Teacher| A woman prepares to hit a tennis ball.
Image 483| Score: -0.6416 | Improved by Teacher| A very tall clock tower with a clock on the side of it.
Image 484| Score: -0.5546 | Improved by Teacher| a bunch of kites in the shape of various animals in front of a misty beach with a group of people riding horses
Image 485| Score: -0.7346 | Improved by Teacher| a young person standing next to a red fire hydrant
Image 486| Score: -0.9273 | Improved by Teacher| A couple of sandwiches in a food basket
Image 487| Score: -0.6414 | Improved by Teacher| A skiier jumps into the air in front of a huge audience.
Image 488| Score: -0.4537 | Improved by Teacher| A man playing baseball has his arm extended
Image 489| Score: -0.5908 | Improved by Teacher| A man lounges sitting backways on a motor bike reading.
Image 490| Score: -1.4002 | Improved by Teacher| A couple of clocks that are on a building.
Image 491| Score: -0.8153 | Improved by Teacher| Atv parked alongside rural roadway with trees lining landscape.
Image 492| Score: -1.0192 | Improved by Teacher| A woman sitting next to a man on a bench.
Image 493| Score: -0.9980 | Improved by Teacher| a bunch of things are outside of a clean white home
Image 494| Score: -0.7923 | Improved by Teacher| A white bathroom with sink and shower cleaned.
Image 495| Score: -0.7640 | Improved by Teacher| A keeper feeding a baby elephant with a milk bottle
Image 496| Score: -0.1105 | Improved by Teacher| A black and white zebra stands next to a tree.
Image 497| Score: -0.4675 | Improved by Teacher| A flock of sheep graze beneath trees in a green pasture filled with wildflowers.
Image 498| Score: -0.9224 | Improved by Teacher| A snow field outside of a ski resort.
Image 499| Score: -0.5680 | Improved by Teacher| a wooden bench sits on top of a grass hill 
Image 500| Score: -2.2303 | Improved by Teacher| Woman in suggestive wear on her knees in a bed.
