Image 0| Score: -0.5694 | Improved by Teacher| Green commercial building with refrigerator and refrigeration units outside.
Image 1462| Score: -0.3321 | Improved by Teacher| Two guys holding Wii remotes and gesturing towards their game on the television.
Image 1463| Score: -1.1554 | Improved by Teacher| A slice of strawberry meringue pie with a knife and fork in Sweden
Image 1464| Score: 0.6102 | Improved by Teacher| Street lights are seen in a dusk setting. 
Image 1465| Score: -0.0760 | Improved by Teacher| THERE IS A GIRL THAT IS SITTING ON THE BENCH 
Image 1466| Score: -1.1382 | Improved by Teacher| a number of street signs with a business sign in the background
Image 1467| Score: 1.8820 | Kept from Student| a male in a black shirt is holding a large sandwich
Image 1468| Score: -1.3330 | Improved by Teacher| Large jet airplanes parked at an airport waiting for passengers.
Image 1469| Score: 0.9101 | Kept from Student| A large brown dog laying on top of a floor.
Image 1470| Score: 1.8275 | Kept from Student| a small kid playing with a soccer ball 
Image 1471| Score: 1.3662 | Kept from Student| There is too much stuff on top of the motorcycle.
Image 1472| Score: 1.2946 | Kept from Student| A plate of stir fry vegetagbles with some brown sauce
Image 1473| Score: -0.0891 | Improved by Teacher| a lot of different types of luggage bags near one another
Image 1474| Score: -0.6154 | Improved by Teacher| A little girl is drinking milk from a cup.
Image 1475| Score: 1.1091 | Kept from Student| A woman next to a train and holding her ears on a foggy train platform.
Image 1476| Score: 0.9645 | Kept from Student| Someone is cutting a soccer shaped cake with a spoon
Image 1477| Score: -0.0828 | Improved by Teacher| Showing off his snowboard on a beautiful mountain.
Image 1478| Score: 1.8782 | Kept from Student| A man wearing a yellow parka inserting coins into a parking meter.
Image 1479| Score: 0.7284 | Kept from Student| a man dressed like a knight riding a horse
Image 1480| Score: 0.6507 | Kept from Student| A woman is outside preparing to fly a kite
Image 1481| Score: -0.9947 | Improved by Teacher| A lady putting a Frisbee back into the holder.
Image 1482| Score: 1.3552 | Kept from Student| A narrow city street is filled with people and motorbikes.
Image 1483| Score: -1.0362 | Improved by Teacher| People feeding an elephant in a zoo enclosure.
Image 1484| Score: 1.1443 | Kept from Student| an image of a man on the beach riding horse
Image 1485| Score: 1.1637 | Kept from Student| A display on a store front with lots of items on display.
Image 1486| Score: 0.3290 | Improved by Teacher| A person holding a black and white umbrella in the street.
Image 1487| Score: 0.7734 | Kept from Student| The sectional area of the wall has luggage bags and boxes in it. 
Image 1488| Score: 1.1643 | Kept from Student| Elephants are standing in and near a water source.
Image 1489| Score: 0.6606 | Kept from Student| A bathroom vanity is adorned with an elegant lighting fixture.
Image 1490| Score: -1.0989 | Improved by Teacher| Someones legs and a pillow and suitcase 
Image 1491| Score: 0.4138 | Improved by Teacher| The small room contained a bed, desk, and dresser, among other furniture and decorations.  
Image 1492| Score: 0.6742 | Kept from Student| Candles and flowers neatly placed on a table.
Image 1493| Score: -0.0493 | Improved by Teacher| A large display of a variety of fruits and vegetables. 
Image 1494| Score: -0.8859 | Improved by Teacher| A large stone tower with a clock on top
Image 1495| Score: 0.8841 | Kept from Student| a lady holding an umbrella protecting herself from the sun
Image 1496| Score: -0.7656 | Improved by Teacher| A child and three adults at a party with a cake and a punch fountain.
Image 1497| Score: -0.3056 | Improved by Teacher| a large red boat is in water near buildings 
Image 1498| Score: 0.6407 | Kept from Student| A farmer on a plow being pulled by two horses.
Image 1499| Score: 0.7290 | Kept from Student| A glass of beer that is sitting next to a laptop.
Image 1500| Score: 1.3091 | Kept from Student| a boat that is free floating on a body of water
Image 1501| Score: 0.7485 | Kept from Student| On a plate is kept a burger and a bowl of broccoli and a fork.
Image 1502| Score: -0.8893 | Improved by Teacher| A tennis player preparing to serve the ball.
Image 1503| Score: 1.0973 | Kept from Student| Large set of motorcycles all lined up down a street.
Image 1504| Score: 0.4314 | Improved by Teacher| Two diesel trucks parked in a parking lot.
Image 1505| Score: 0.0082 | Improved by Teacher| A mother and daughter playing a game of Frisbee on a sandy beach.
Image 1506| Score: 1.6965 | Kept from Student| A group of sailboats sailing beyond a long bridge. 
Image 1507| Score: -0.6919 | Improved by Teacher| A woman holding a Nintendo Wii box at table.
Image 1508| Score: 1.6514 | Kept from Student| A fire truck parked in a snowy field.
Image 1509| Score: 0.7455 | Kept from Student| A medium-sized elephant stretches its legs as it feeds upon dry grass.
Image 1510| Score: 1.0263 | Kept from Student| Three old bath tubs in an abandoned building
Image 1511| Score: -0.2029 | Improved by Teacher| Snowboard atop of wooden structure next to evergreen plant.
Image 1512| Score: 1.4699 | Kept from Student| a man riding a red bicycle watching a bird in the water
Image 1513| Score: 0.8903 | Kept from Student| A small, curtained living room during the day.
Image 1514| Score: 1.4356 | Kept from Student| A panda curled up asleep on a rock.
Image 1515| Score: 0.6154 | Improved by Teacher| A cat is sitting on the closed toilet seat. 
Image 1516| Score: 0.7546 | Kept from Student| A pile of many different types of fruit.
Image 1517| Score: 0.4058 | Improved by Teacher| a man putting some cheese on top of his pizza slice 
Image 1518| Score: 0.5197 | Improved by Teacher| A young man working on a fork assembly in his garage.
Image 1519| Score: 0.7257 | Kept from Student| Bento boxes full of fresh fruit and vegetables 
Image 1520| Score: 0.6931 | Kept from Student| A sidewalk has a fire hydrant on the corner
Image 1521| Score: -0.4331 | Improved by Teacher| A young boy in a wetsuit surfing in the ocean
Image 1522| Score: 0.9244 | Kept from Student| An old truck is parked in front of the station
Image 1523| Score: -1.5475 | Improved by Teacher| A small black bear standing on a grass covered field next to a  truck.
Image 1524| Score: 1.1427 | Kept from Student| Lots of bikers talk among either other near motorcycles.
Image 1525| Score: 1.7675 | Kept from Student| A man with no shirt on a skateboard.
Image 1526| Score: 0.8374 | Kept from Student| A hydrant is shown on the side of the walkway.
Image 1527| Score: 1.7176 | Kept from Student| A group of people around the table with doughnuts and soda.
Image 1528| Score: 1.9600 | Kept from Student| A floral arrangement with flowering twigs in an orange vase.
Image 1529| Score: 1.1490 | Kept from Student| a man is on the phone by a wizard statue
Image 1530| Score: 0.9784 | Kept from Student| A dog and a cat sitting in a chair.
Image 1531| Score: 0.8945 | Kept from Student| A figher jet plane flying on its side through the air.
Image 1532| Score: 1.3072 | Kept from Student| People checking the bananas and other fruits and veggies at the outside market table
Image 1533| Score: -0.7779 | Improved by Teacher| A cat outside looking straight ahead with a tree behind it.
Image 1534| Score: 0.4095 | Improved by Teacher| A person sitting on a motor bike on a street.
Image 1535| Score: 1.8001 | Kept from Student| A person wheeling a hand truck across an open market.
Image 1536| Score: -0.2057 | Improved by Teacher| a black horse is pulling some people in a cart and buildings
Image 1537| Score: 0.4257 | Improved by Teacher| A snow covered landscape with a cloudy horizon.
Image 1538| Score: 1.6594 | Kept from Student| A woman sitting on a bench near a statue, checking her phone.
Image 1539| Score: -0.1217 | Improved by Teacher| A person is getting ready to hit a ball with a tennis racket.
Image 1540| Score: 0.7068 | Kept from Student| A man standing on a street next to a fire hydrant.
Image 1541| Score: 0.2806 | Improved by Teacher| A Lufthansa airline flight flying in the sky.
Image 1542| Score: 0.7267 | Kept from Student| The living room is designed with brown and beige colors.
Image 1543| Score: 0.1557 | Improved by Teacher| A pitcher about to throw a baseball on a baseball diamond.
Image 1544| Score: 1.8058 | Kept from Student| A black dog laying on top of a puddle of mud.
Image 1545| Score: 1.0547 | Kept from Student| A plane high up in the cloudy sky.
Image 1546| Score: 1.7661 | Kept from Student| Cars moving on a city street in front of palm trees. 
Image 1547| Score: 0.4025 | Improved by Teacher| Baseball players prepare to react to a pitch. 
Image 1548| Score: -0.5832 | Improved by Teacher| A man wearing sunglasses and a baseball cap talks on a cell phone.
Image 1549| Score: 0.1985 | Improved by Teacher| A display of donuts with various toppings and varieties.
Image 1550| Score: 1.4859 | Kept from Student| a weird looking white cow with a dog standing on a brick wall
Image 1551| Score: 0.4931 | Improved by Teacher| a clock tower with its lights on during the evening 
Image 1552| Score: 0.1467 | Improved by Teacher| The man is skateboarding in the park. 
Image 1553| Score: 0.6413 | Kept from Student| a cow that has a small white bird on it
Image 1554| Score: 1.7748 | Kept from Student| A toy raccoon is placed on the green broccoli.
Image 1555| Score: 1.1989 | Kept from Student| Tortellini joins a colorful vegetable salad in this entree.
Image 1556| Score: -0.9484 | Improved by Teacher| A street light with a red arrow pointing left.
Image 1557| Score: 0.5701 | Improved by Teacher| A man is cutting a sub sandwiches while a lady put a vegetable in the bag.
Image 1558| Score: 1.0677 | Kept from Student| A desktop computer sitting on top of a glass table.
Image 1559| Score: -0.5933 | Improved by Teacher| a toddler brushing his teeth while holding a baseball hat.
Image 1560| Score: 0.7338 | Kept from Student| A toilet that has been covered in filth.
Image 1561| Score: 0.0504 | Improved by Teacher| A counter and a table in a room.
Image 1562| Score: 1.0314 | Kept from Student| A bus parked outside with Asian characters on it.
Image 1563| Score: 0.0936 | Improved by Teacher| On June 29, 2013, a train, its last car number 142053, takes a curve to the right.
Image 1564| Score: 1.3903 | Kept from Student| Breakfast is complete with a large waffle topped with bananas.
Image 1565| Score: 0.1254 | Improved by Teacher| a person riding a skate board siting down on a road
Image 1566| Score: -0.3825 | Improved by Teacher| Two adult sheep lay on the green grass.
Image 1567| Score: 1.8395 | Kept from Student| a woman in yellow is sitting on a bench
Image 1568| Score: -1.6066 | Improved by Teacher| A clock is next to palm trees and a high rise.
Image 1569| Score: 0.5979 | Improved by Teacher| Bathroom with a shower, sink, and toilet in it. 
Image 1570| Score: 0.7310 | Kept from Student| A sign that says Pay Here To Park
Image 1571| Score: -0.2736 | Improved by Teacher| The small kitchen has large cabinets and two stoves.
Image 1572| Score: -0.3063 | Improved by Teacher| A black and white photograph of two adults and a group of children near a fence, some on horseback.
Image 1573| Score: 0.0354 | Improved by Teacher| A young boy brushes his teeth with a tooth brush
Image 1574| Score: 0.5019 | Improved by Teacher| There is a lot of traffic outside because of the fire truck 
Image 1575| Score: -0.9623 | Improved by Teacher| a woman water crabs in some white trays and other foods
Image 1576| Score: -0.7939 | Improved by Teacher| An room that has been broken into smaller work areas by a divider.
Image 1577| Score: -1.1506 | Improved by Teacher| Several people taking photos with their cell phones at a train depot.
Image 1578| Score: 0.8792 | Kept from Student| A small truck parked on the side of a street ready to go.
Image 1579| Score: 0.0680 | Improved by Teacher| A lot of carrots on a wood board for sale. 
Image 1580| Score: 1.0433 | Kept from Student| The legs of a man watching TV and drinking a beer.
Image 1581| Score: -0.0362 | Improved by Teacher| View of someone's cap at the bottom and a giraffe and zebra in the back
Image 1582| Score: 1.2499 | Kept from Student| A pot that has vegetables and broth in it.
Image 1583| Score: -0.7397 | Improved by Teacher| A woman keeps a cell phone at her right ear with a rubber band around her head.
Image 1584| Score: 1.7294 | Kept from Student| A little girl is holding an umbrella on a wet day.
Image 1585| Score: 0.1678 | Improved by Teacher| There is a laptop next to a desktop computer
Image 1586| Score: 0.8246 | Kept from Student| A man hitting a tennis ball with a racquet.
Image 1587| Score: 0.6008 | Improved by Teacher| A mostly white kitchen has dishes in the sink.
Image 1588| Score: 1.1675 | Kept from Student| A car is parked beside a building with many windows.
Image 1589| Score: -1.7045 | Improved by Teacher| A big green bus that is covered with dust and has many bicycles on the roof.
Image 1590| Score: 1.6906 | Kept from Student| a crowded tennis match being played at night
Image 1591| Score: 0.4679 | Improved by Teacher| The big bird is standing on the beach by the water. 
Image 1592| Score: 1.2162 | Kept from Student| A bunch of men are running to catch the frisbee that is thrown.
Image 1593| Score: 0.3386 | Improved by Teacher| A fire truck and ambulance at a wreck scene.
Image 1594| Score: -1.7324 | Improved by Teacher| a brown desk phone light keyboard and monitor
Image 1595| Score: 0.8017 | Kept from Student| A man sits on top of a toilet.
Image 1596| Score: 1.7452 | Kept from Student| A woman leads her sheep through a city street.
Image 1597| Score: 1.7727 | Kept from Student| A woman sitting on a bench holding onto a dog
Image 1598| Score: -0.0578 | Improved by Teacher| A tired cat lies on a couch next to a laptop.
Image 1599| Score: 0.6713 | Kept from Student| A photograph of a cross country skier in a greenish tint light.
Image 1600| Score: 1.0299 | Kept from Student| A fire hydrant in a wooded area covered in vines. 
Image 1601| Score: 0.6066 | Improved by Teacher| a dog lying on a couch and sleeping
Image 1602| Score: 1.8777 | Kept from Student| a man riding on an elephant near a stream of water.
Image 1603| Score: 0.7796 | Kept from Student| A tennis player taking a swing at a ball
Image 1604| Score: 0.1511 | Improved by Teacher| A man driving a vintage truck with a dog riding beside him.
Image 1605| Score: 0.9343 | Kept from Student| A yellow, blue, purple, and white train at a train station on the tracks.
Image 1606| Score: -1.1686 | Improved by Teacher| A birthday cake that is on a table.
Image 1607| Score: -1.4708 | Improved by Teacher| Cows are sitting in the large open field
Image 1608| Score: 1.4528 | Kept from Student| a truck is entering a very crowded parade
Image 1609| Score: 0.0773 | Improved by Teacher| A man that is sitting on a horse.
Image 1610| Score: -0.5509 | Improved by Teacher| Three different colored suitcases are on the ground next to each other.
Image 1611| Score: 0.8504 | Kept from Student| A woman walking in a busy area while talking on a cell phone. 
Image 1612| Score: -0.5982 | Improved by Teacher| Looking down at a flat top stove and stainless steel oven
Image 1613| Score: -0.0776 | Improved by Teacher| Sandwiches of different types sit in the open on the table.
Image 1614| Score: -1.2965 | Improved by Teacher| Fancy traffic light with arrows and a mirror.
Image 1615| Score: 1.4820 | Kept from Student| The train is passing by the garden with the pink rose.
Image 1616| Score: 1.2615 | Kept from Student| A woman preparing food while standing in a kitchen.
Image 1617| Score: 0.5257 | Improved by Teacher| A long train traveling past passengers on a platform.
Image 1618| Score: 0.9473 | Kept from Student| A woman standing on top of a tennis court holding a racquet.
Image 1619| Score: 0.8963 | Kept from Student| a small child wearing blue is riding a skateboard
Image 1620| Score: 1.7410 | Kept from Student| A woman in a pink hat is looking at a cellphone.
Image 1621| Score: 0.7796 | Kept from Student| THERE IS AN OLDER COUPLE THAT IS GETTING MARRIED 
Image 1622| Score: 1.6292 | Kept from Student| A vase sitting on a hard wood floor with flowers sticking out of it.
Image 1623| Score: 1.9673 | Kept from Student| Man sitting at yellow covered table at outdoor eating area.
Image 1624| Score: 0.8336 | Kept from Student| the scissors sit in a containers with pens and markers
Image 1625| Score: 1.2597 | Kept from Student| A group of children walking down the street.
Image 1626| Score: 0.3479 | Improved by Teacher| There are two people skiing down a hill.
Image 1627| Score: 0.1760 | Improved by Teacher| A man on a surfboard riding on the waters waves.
Image 1628| Score: -0.5945 | Improved by Teacher| an image of a kitchen setting with ceramic backsplash
Image 1629| Score: 1.7677 | Kept from Student| White bird flying over rocks any big body of water. 
Image 1630| Score: 0.4855 | Improved by Teacher| The kitchen is clean and ready to be used.
Image 1631| Score: 0.4460 | Improved by Teacher| A father lovingly holding his smiling infant child.
Image 1632| Score: 0.8670 | Kept from Student| A group of people are seated around a dining table.
Image 1633| Score: 0.6452 | Kept from Student| A kitchen has an island in the center.
Image 1634| Score: -0.3296 | Improved by Teacher| A black streamlined train pulling into the station.
Image 1635| Score: 0.3174 | Improved by Teacher| 4 men play a game on a park bench.
Image 1636| Score: -0.1378 | Improved by Teacher| This picture shows this street some time ago.
Image 1637| Score: -0.2585 | Improved by Teacher| A person holds a machine to a cow's udders.
Image 1638| Score: 1.1452 | Kept from Student| These two riders are far ahead of the ones behind them.
Image 1639| Score: 1.1039 | Kept from Student| A dog is looking out the window of a yellow truck.
Image 1640| Score: 1.8784 | Kept from Student| Woman under and umbrella looking at her cell phone
Image 1641| Score: 1.6283 | Kept from Student| a person running across a street in the rain.
Image 1642| Score: 1.1800 | Kept from Student| The girl in the green sweater is lying in bed. 
Image 1643| Score: 0.7268 | Kept from Student| A building with a bunch of people standing around it
Image 1644| Score: 1.9441 | Kept from Student| Woman carrying a bunch of bananas on top of her hat. 
Image 1645| Score: 0.5153 | Improved by Teacher| The dog is outside barking at the sheep.
Image 1646| Score: 1.1788 | Kept from Student| An urban farmers' market with produce stalls and crowds of shoppers.
Image 1647| Score: 1.4851 | Kept from Student| There is a green bus stopped next to a brick building.
Image 1648| Score: 1.2485 | Kept from Student| Bright green sneakers on a bed with a gingham bedspread.
Image 1649| Score: -0.5927 | Improved by Teacher| A plane pulled up to a gate with the jet bridge out. 
Image 1650| Score: 0.5103 | Improved by Teacher| A close up of a sandwich with a drink in the back.
Image 1651| Score: 1.4974 | Kept from Student| different groups of people walking and holding opened umbrellas
Image 1652| Score: 0.6643 | Kept from Student| Stop sign with photo effect in the dark.
Image 1653| Score: 0.8267 | Kept from Student| Motorcycle racers making a turn in old photograph.
Image 1654| Score: -0.5302 | Improved by Teacher| a couple of women sit on top of a horse 
Image 1655| Score: 0.4880 | Improved by Teacher| A zebra in the shade on a sunny day 
Image 1656| Score: -0.2495 | Improved by Teacher| People in navy uniforms and one person talking on a walkie- talkie.
Image 1657| Score: -0.9714 | Improved by Teacher| A person does a skateboard trick in the air
Image 1658| Score: 1.5584 | Kept from Student| a wok on a stove cooking some food
Image 1659| Score: 0.5566 | Improved by Teacher| A man is aiming to hit a tennis ball on a tennis court.
Image 1660| Score: 0.5031 | Improved by Teacher| Gothic styled buildings with copper tops on the building spires.
Image 1661| Score: 0.3995 | Improved by Teacher| A young woman plays a game of tug-o-war with her dog.
Image 1662| Score: 1.5173 | Kept from Student| A small bird perched on the windshield of a car
Image 1663| Score: 0.3510 | Improved by Teacher| Men dressed in black and white stand in a group of people and one man wears a hat and holds his cell phone.
Image 1664| Score: 0.9429 | Kept from Student| A guy on a motorcycle riding on a dirt track.
Image 1665| Score: 0.9987 | Kept from Student| The interior of a public bathroom with multiple sinks.
Image 1666| Score: 0.8896 | Kept from Student| People are sitting on benches as they watch people walk by.
Image 1667| Score: 1.4234 | Kept from Student| a long wooden bench on a boat on the ocean water
Image 1668| Score: 0.1902 | Improved by Teacher| A girl on a court with a tennis racket.
Image 1669| Score: -0.1892 | Improved by Teacher| A garbage can, which is made to look like a can of soup, sits on the sidewalk.
Image 1670| Score: 1.2293 | Kept from Student| Snowboarder performs airborne stunt after doing a jump.
Image 1671| Score: 0.7936 | Kept from Student| Hungry man holding a hot dot and a hamburger.
Image 1672| Score: 1.1205 | Kept from Student| A bike parked on top of a cement floor.
Image 1673| Score: 0.0103 | Improved by Teacher| An old fashioned oxitue worth old cars on street of town
Image 1674| Score: 0.7775 | Kept from Student| A knife and a pizza cut into slices on the plate
Image 1675| Score: 0.9104 | Kept from Student| A large plant is in the corner of a small bathroom.
Image 1676| Score: 0.7301 | Kept from Student| A few boats traveling through a foggy lake.
Image 1677| Score: 0.4266 | Improved by Teacher| An airplane having maintenance done on the tarmac.
Image 1678| Score: 0.3952 | Improved by Teacher| A person on some skis in the snow.
Image 1679| Score: -0.3111 | Improved by Teacher| A couple people out in the water with surfboards.
Image 1680| Score: 0.9502 | Kept from Student| Woman standing up with a tennis racket preparing to hit a ball.
Image 1681| Score: 1.6130 | Kept from Student| several kids skate boarding under a bridge painted with graffiti 
Image 1682| Score: 1.5616 | Kept from Student| A tent that is in some grass with a table.
Image 1683| Score: 0.8173 | Kept from Student| A clock which is in bad shape mounted on a wall.
Image 1684| Score: 0.5622 | Improved by Teacher| Two girrafes sticking their heads through the boards of their stable.
Image 1685| Score: 0.5503 | Improved by Teacher| A roll that is stuffed with types of food sits on the wooden table.
Image 1686| Score: 0.6807 | Kept from Student| A woman and a dog on a hike on a sunny day.
Image 1687| Score: 1.0150 | Kept from Student| A person on a snow board high in the air.
Image 1688| Score: 0.8769 | Kept from Student| A giraffe sticking his head in the sky next to a tree.
Image 1689| Score: 0.0227 | Improved by Teacher| two zebras are standing next to each other in their pen
Image 1690| Score: 0.6018 | Improved by Teacher| Fire trucks lined up at a market with ladder raised and man on top.
Image 1691| Score: 1.1833 | Kept from Student| A traffic signal with a happy face over the green light.
Image 1692| Score: 0.7504 | Kept from Student| An old green steam engine in the country.
Image 1693| Score: 1.4434 | Kept from Student| A white plate topped with a pile of bacon and an egg sandwich.
Image 1694| Score: 1.8107 | Kept from Student| yellow school bus drives through the wet street
Image 1695| Score: 1.7707 | Kept from Student| A white cat is laying by some tennis shoes.
Image 1696| Score: -0.8882 | Improved by Teacher| A woman taking a selfie near a ledge
Image 1697| Score: -0.7830 | Improved by Teacher| A pitcher throws a baseball and a batter poses with the bat.
Image 1698| Score: -1.7863 | Improved by Teacher| A woman is riding a motorcycle down the street.
Image 1699| Score: 0.4492 | Improved by Teacher| Two birds with long necks on a a body of water.
Image 1700| Score: 1.4082 | Kept from Student| Toilet in a small room with plant pots.
Image 1701| Score: 1.3939 | Kept from Student| A sign that is attached to a wooden pole.
Image 1702| Score: 1.1198 | Kept from Student| a couple of red lights are on a pole
Image 1703| Score: 0.6954 | Kept from Student| A photo of a hunch of people that are walking around a ski run. 
Image 1704| Score: 0.3688 | Improved by Teacher| A man has his umbrella folded up while the rest of the people have theirs open. 
Image 1705| Score: 1.4976 | Kept from Student| A woman performing a Frisbee trick with her dog for spectators.
Image 1706| Score: 0.9853 | Kept from Student| A red train parked in a train station next to a loading platform.
Image 1707| Score: 1.2407 | Kept from Student| Two kids next to a red, yellow, orange, and white birthday cake.
Image 1708| Score: 0.0956 | Improved by Teacher| A street corner with a stop sign and other traffic signage.
Image 1709| Score: 0.5750 | Improved by Teacher| A man is performing tricks with a frisbee while others watch.
Image 1710| Score: -0.3236 | Improved by Teacher| A boy who is playing a video game.
Image 1711| Score: -1.7266 | Improved by Teacher| A picture of a building in the background and the numbers one to 10 in the foreground.
Image 1712| Score: 0.0668 | Improved by Teacher| A surfer in the middle of two waves that have crested
Image 1713| Score: -0.5457 | Improved by Teacher| The train making its way to a scheduled destination.
Image 1714| Score: 0.4498 | Improved by Teacher| A herd of cattle grazing with dark clouds above.
Image 1715| Score: -1.1528 | Improved by Teacher| A woman who is standing with a pair of skis.
Image 1716| Score: -0.2022 | Improved by Teacher| A man holding a toothbrush with a heart on it
Image 1717| Score: 0.4905 | Improved by Teacher| A living room with a wooden table next to a kitchen.
Image 1718| Score: -0.7703 | Improved by Teacher| White modern commode displayed in small bathroom area.
Image 1719| Score: 0.1672 | Improved by Teacher| A person surfing in the ocean on a sunny day.
Image 1720| Score: 1.2275 | Kept from Student| a little kid is standing in a kitchen
Image 1721| Score: 0.6947 | Kept from Student| A woman is looking at a sink in a kitchen.
Image 1722| Score: 0.8292 | Kept from Student| A person that is skiing down a path surrounded by trees.
Image 1723| Score: 0.6416 | Kept from Student| a couple of large buildings with a car parked out front
Image 1724| Score: 0.2413 | Improved by Teacher| A virgin plane is sitting on the runway
Image 1725| Score: -1.1783 | Improved by Teacher| a group of small boys are sitting next to each other on their small green laptops 
Image 1726| Score: 0.2185 | Improved by Teacher| a little bathroom with a white toilet and a paper taped to the floor 
Image 1727| Score: -0.5478 | Improved by Teacher| This cat has no intention of giving up the computer keyboard to a human.
Image 1728| Score: 0.3760 | Improved by Teacher| A large ship sailing across a lake next to shore.
Image 1729| Score: 1.1296 | Kept from Student| Man with hat and umbrella holding object in left hand against modern background.
Image 1730| Score: 0.7987 | Kept from Student| A picture of a restaurant interior is taken through a fish-eye lens.
Image 1731| Score: -0.5352 | Improved by Teacher| A donkey draws a carriage carrying two people
Image 1732| Score: 1.3150 | Kept from Student| a bunch of bags that are laying on the ground
Image 1733| Score: 1.3294 | Kept from Student| A couple of dogs fighting over a purple frisbee.
Image 1734| Score: -0.0080 | Improved by Teacher| A mirror and a train at a station.
Image 1735| Score: 1.0171 | Kept from Student| A bedroom with carpeted floors and black floral wallpaper. 
Image 1736| Score: 0.6053 | Improved by Teacher| A cat is peeking out from under a blanket.
Image 1737| Score: 0.9880 | Kept from Student| The side of a chartered bus painted with a red horse.
Image 1738| Score: 0.3659 | Improved by Teacher| The kitchen features an old fashioned center island.
Image 1739| Score: -0.1475 | Improved by Teacher| A cat is sitting under a shelf wearing a pair of glasses. 
Image 1740| Score: 0.5629 | Improved by Teacher| A group of surfers on an ocean wave.
Image 1741| Score: -1.4281 | Improved by Teacher| A double-decked bus is driving along the highway.
Image 1742| Score: 1.3849 | Kept from Student| A small pair of scissors sitting next to a penny.
Image 1743| Score: 0.7868 | Kept from Student| The large herd includes zebra standing amongst antelope.
Image 1744| Score: 0.4598 | Improved by Teacher| A boy in black shirt on a fake surfboard at park.
Image 1745| Score: 1.5100 | Kept from Student| A group of men standing next to parked motorcycles
Image 1746| Score: -0.6453 | Improved by Teacher| A bunch of ripe bananas hanging outside a home.
Image 1747| Score: -0.2191 | Improved by Teacher| A snowboarder losing his hat as he snowboards.
Image 1748| Score: 0.4127 | Improved by Teacher| Two men playing frisbee in a field of grass.
Image 1749| Score: 1.5091 | Kept from Student| A kitchen filled with lots of red appliances.
Image 1750| Score: 1.8770 | Kept from Student| An orange cat sleeping on top of a red car.
Image 1751| Score: 0.8228 | Kept from Student| some people standing at a table holding onto bowls with desserts in them 
Image 1752| Score: 0.3012 | Improved by Teacher| horse carriage carrying two people stopped on the street.
Image 1753| Score: 0.8806 | Kept from Student| a toilet with a digususting mess by the toilet seat
Image 1754| Score: 0.0691 | Improved by Teacher| A young man doing a trick on a skating rail.
Image 1755| Score: 0.4948 | Improved by Teacher| a women that is sitting at a ktichen table
Image 1756| Score: 1.6836 | Kept from Student| Motorcycles arranged in several rows in a parking lot. 
Image 1757| Score: -1.3176 | Improved by Teacher| Motorcycle sitting in front of a small black antique vehicle.
Image 1758| Score: 0.2639 | Improved by Teacher| A small bathroom with the door half open leading to a toilet.
Image 1759| Score: 1.8571 | Kept from Student| A red vase with an assortment of flowers in it
Image 1760| Score: 0.1538 | Improved by Teacher| Boy posed at a table with a plate of hot dogs and onion rings.
Image 1761| Score: 0.1272 | Improved by Teacher| A man takes a picture in the mirror in his bathroom.
Image 1762| Score: -0.6010 | Improved by Teacher| a man on a skating board jumping very high
Image 1763| Score: 0.7653 | Kept from Student| A person is riding the waves on a surfboard.
Image 1764| Score: 0.9250 | Kept from Student| A vase that has a flower inside of it.
Image 1765| Score: 1.6635 | Kept from Student| An orange bus parked next to a building.
Image 1766| Score: -1.2903 | Improved by Teacher| Three cows laying in a field behind a barb wired fence.
Image 1767| Score: 0.2356 | Improved by Teacher| A black and white zebra walking in the grass. 
Image 1768| Score: 1.3653 | Kept from Student| A brown and white dog near a red and white fire hydrant.
Image 1769| Score: -0.1127 | Improved by Teacher| a couple of giraffes stand with some other animals 
Image 1770| Score: 1.9431 | Kept from Student| The child is sitting down while watching kites go by.
Image 1771| Score: 0.9762 | Kept from Student| a public transit bus on a city street 
Image 1772| Score: 0.9339 | Kept from Student| A man riding on the back of a motorcycle 
Image 1773| Score: 0.2058 | Improved by Teacher| A sign reading "Motorcycles Use Caution" on a road.
Image 1774| Score: -1.3485 | Improved by Teacher| a laptop besides an alarm clock maroon in color
Image 1775| Score: 1.5435 | Kept from Student| A ship far from shore with sea birds beside it
Image 1776| Score: 0.4250 | Improved by Teacher| A close-up view of a green and yellow fire hydrant.
Image 1777| Score: 1.8745 | Kept from Student| A  horse in the water next to the birds
Image 1778| Score: 0.5390 | Improved by Teacher| An entertainment system has a television and large speakers.
Image 1779| Score: -0.6063 | Improved by Teacher| A group of people washing two elephants in a river.
Image 1780| Score: -1.1585 | Improved by Teacher| A dog laying on a blanket next to a person
Image 1781| Score: -0.4031 | Improved by Teacher| Vegetable and pepperoni pizza with a slice cut out
Image 1782| Score: 0.4349 | Improved by Teacher| Two zebras who are grazing on some grass.
Image 1783| Score: -0.4083 | Improved by Teacher| A freezer with several boxes of a dish in it.
Image 1784| Score: 1.9448 | Kept from Student| MAN STANDING NEAR TABLE WITH A BASKET OF APPLES
Image 1785| Score: -1.5701 | Improved by Teacher| Three zebras eat hay in black and white.
Image 1786| Score: 1.5971 | Kept from Student| Two delicious donuts sitting on a brown paper bag.
Image 1787| Score: 0.3585 | Improved by Teacher| A man is staring at something in his hand.
Image 1788| Score: 1.1002 | Kept from Student| A white plate topped with blue and pink cup cakes.
Image 1789| Score: 0.3761 | Improved by Teacher| A long horn bull next to two sheep near a stone wall.
